,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,licks,running_speed,time_0,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt,choice
0,JUV011,211215,1,0.0,0.3063319999998839,1.8329929999999877,0.3084989999999834,0.3084989999999834,"[0.3063319999998839, 0.4184989999998834, 0.5508319999999003, 0.6166639999999006, 0.7083310000000438, 0.7939979999998741, 0.9454969999999321, 1.047162999999955, 1.1489959999998973, 1.2581619999998566, 1.3446619999999712, 1.4669949999999972, 1.582493999999997, 1.7031600000000253, 1.8188259999999445]","[array([[-2.554056  ,  1.71568627],
       [-2.424056  ,  1.58119658],
       [-1.824056  ,  1.66666667],
       [-1.204056  ,  1.42921147],
       [-0.694056  ,  1.63943355],
       [-0.184056  ,  1.61764706],
       [ 0.325944  ,  1.51960784],
       [ 0.845944  ,  1.55448718],
       [ 1.355944  ,  0.53921569],
       [ 1.495944  ,  0.17857143],
       [ 2.095944  ,  0.00925926],
       [ 2.705944  ,  0.30510018],
       [ 3.225944  ,  1.88034188],
       [ 3.735944  ,  2.85947712],
       [ 4.245944  ,  2.58714597]])]",1663.447028,4,2,go,15,normal,2,2
1,JUV011,211215,2,4.703148000000056,4.868480999999974,8.264472999999953,4.870813999999882,4.870813999999882,"[4.868480999999974, 4.960980000000063, 5.069479999999885, 5.157146999999895, 5.247478999999885, 5.3438119999998435, 5.445312000000058, 5.554153999999926, 5.64047800000003, 5.75597700000003, 5.871977000000015, 5.994809999999916, 6.089475999999877, 6.2384759999999915, 6.367807999999968, 6.509141, 8.24346700000001]","[array([[2.09594400e+00, 9.25925926e-03],
       [2.70594400e+00, 3.05100182e-01],
       [3.22594400e+00, 1.88034188e+00],
       [3.73594400e+00, 2.85947712e+00],
       [4.24594400e+00, 2.58714597e+00],
       [4.76594400e+00, 2.05128205e+00],
       [5.27594400e+00, 1.49237473e+00],
       [5.78594400e+00, 1.65577342e+00],
       [6.30594400e+00, 1.36752137e+00],
       [6.81594400e+00, 1.70479303e+00],
       [7.32594400e+00, 1.46514161e+00],
       [7.83594400e+00, 1.85185185e+00],
       [8.35594400e+00, 1.84294872e+00],
       [8.48594400e+00, 1.79487179e+00],
       [9.07594400e+00, 1.63370998e+00],
       [9.68594400e+00, 1.72586521e+00],
       [1.02059440e+01, 1.77884615e+00]])]",1663.447028,2,2,go,17,normal,2,2
2,JUV011,211215,3,10.26579300000003,10.391292000000021,20.894416999999976,,10.391292000000021,"[10.391292000000021, 10.497292000000016, 19.529088999999885, 19.721421999999848, 19.849594000000025, 19.989419999999882, 20.03908699999988, 20.84458399999994]","[array([[ 7.325944  ,  1.46514161],
       [ 7.835944  ,  1.85185185],
       [ 8.355944  ,  1.84294872],
       [ 8.485944  ,  1.79487179],
       [ 9.075944  ,  1.63370998],
       [ 9.685944  ,  1.72586521],
       [10.205944  ,  1.77884615],
       [10.715944  ,  1.45424837],
       [11.225944  ,  1.5577342 ],
       [11.745944  ,  1.57051282],
       [12.255944  ,  1.77015251],
       [12.755944  ,  1.34444444],
       [13.305944  ,  0.1969697 ],
       [13.415944  ,  0.07575758],
       [14.015944  ,  0.03240741],
       [14.625944  ,  1.17486339],
       [15.135944  ,  2.68518519],
       [15.645944  ,  2.58714597],
       [16.155944  ,  1.60130719],
       [16.665944  , -0.08714597],
       [17.185944  ,  0.29380342],
       [17.695944  ,  1.16557734],
       [18.205944  ,  1.47058824],
       [18.715944  ,  1.45424837],
       [19.225944  ,  0.84422658],
       [19.735944  ,  0.94771242],
       [20.245944  ,  1.88453159],
       [20.765944  ,  1.85363248],
       [21.275944  ,  1.90631808],
       [21.795944  ,  1.64529915],
       [22.305944  ,  1.12200436],
       [22.435944  ,  0.87606838],
       [23.025944  ,  1.30414313],
       [23.635944  ,  1.52550091],
       [24.145944  ,  1.60675381]])]",1663.447028,5,-1,nogo,8,normal,,-1
3,JUV011,211215,4,24.34773599999994,,,,27.598056999999926,[],"[array([[21.795944  ,  1.64529915],
       [22.305944  ,  1.12200436],
       [22.435944  ,  0.87606838],
       [23.025944  ,  1.30414313],
       [23.635944  ,  1.52550091],
       [24.145944  ,  1.60675381],
       [24.665944  ,  1.58119658],
       [25.175944  ,  1.4379085 ],
       [25.695944  ,  1.67200855],
       [26.205944  ,  1.37254902],
       [26.715944  ,  1.63398693],
       [27.215944  ,  1.62777778],
       [27.735944  ,  1.76282051],
       [28.245944  ,  1.63398693],
       [28.755944  ,  1.71568627],
       [29.265944  ,  1.59586057],
       [29.395944  ,  1.51709402],
       [29.995944  ,  1.85185185],
       [30.615944  ,  1.89964158],
       [31.125944  ,  1.84640523]])]",1663.447028,8,0,nogo,0,normal,,0
4,JUV011,211215,5,31.285875000000033,31.47854099999995,32.97586799999999,31.48071600000003,31.48071600000003,"[31.47854099999995, 31.57071299999984, 31.672206999999844, 31.738540000000057, 31.823539999999866, 31.915538999999853, 32.02103899999997, 32.128872999999885, 32.237705000000005, 32.35253799999987, 32.454536999999846, 32.56320299999993, 32.67870300000004, 32.781203000000005, 32.911202]","[array([[28.755944  ,  1.71568627],
       [29.265944  ,  1.59586057],
       [29.395944  ,  1.51709402],
       [29.995944  ,  1.85185185],
       [30.615944  ,  1.89964158],
       [31.125944  ,  1.84640523],
       [31.635944  ,  1.61220044],
       [32.145944  ,  1.85185185],
       [32.665944  ,  1.44764957],
       [33.175944  ,  1.4379085 ],
       [33.685944  ,  1.70479303],
       [34.195944  ,  1.66122004],
       [34.705944  ,  1.59586057],
       [35.215944  ,  1.02396514],
       [35.725944  ,  1.31808279]])]",1663.447028,2,2,go,15,normal,2,2
5,JUV011,211215,6,36.14352199999985,36.32452199999989,36.4300209999999,,36.32452199999989,"[36.32452199999989, 36.42302100000006]","[array([[ 3.31759440e+01,  1.43790850e+00],
       [ 3.36859440e+01,  1.70479303e+00],
       [ 3.41959440e+01,  1.66122004e+00],
       [ 3.47059440e+01,  1.59586057e+00],
       [ 3.52159440e+01,  1.02396514e+00],
       [ 3.57259440e+01,  1.31808279e+00],
       [ 3.62359440e+01,  1.64488017e+00],
       [ 3.67559440e+01,  2.24358974e-01],
       [ 3.72659440e+01, -2.17864924e-02],
       [ 3.74059440e+01,  1.98412698e-02],
       [ 3.80059440e+01, -9.25925926e-03],
       [ 3.86159440e+01, -4.55373406e-03],
       [ 3.91259440e+01,  8.16993464e-02],
       [ 3.96359440e+01, -2.72331155e-02],
       [ 4.01559440e+01, -3.73931624e-02],
       [ 4.06659440e+01,  1.08932462e-02],
       [ 4.11859440e+01,  2.19017094e-01],
       [ 4.16959440e+01, -9.80392157e-02],
       [ 4.22059440e+01,  5.44662309e-02],
       [ 4.27259440e+01,  5.34188034e-01],
       [ 4.32359440e+01,  1.12745098e+00],
       [ 4.37459440e+01,  1.42156863e+00],
       [ 4.42559440e+01,  1.25816993e+00],
       [ 4.47659440e+01,  8.44226580e-01],
       [ 4.52759440e+01,  1.08932462e-02],
       [ 4.54159440e+01, -7.93650794e-02],
       [ 4.60059440e+01, -9.41619586e-03],
       [ 4.66359440e+01,  2.64550265e-02],
       [ 4.71459440e+01,  9.25925926e-02],
       [ 4.76659440e+01,  1.07905983e+00],
       [ 4.81859440e+01,  1.55982906e+00],
       [ 4.86859440e+01,  2.03888889e+00],
       [ 4.91959440e+01,  1.48692810e+00],
       [ 4.97159440e+01,  6.51709402e-01]])]",1663.447028,5,-1,nogo,2,normal,,-1
6,JUV011,211215,7,49.99647099999993,,,,52.99879199999987,[],"[array([[4.71459440e+01, 9.25925926e-02],
       [4.76659440e+01, 1.07905983e+00],
       [4.81859440e+01, 1.55982906e+00],
       [4.86859440e+01, 2.03888889e+00],
       [4.91959440e+01, 1.48692810e+00],
       [4.97159440e+01, 6.51709402e-01],
       [5.02259440e+01, 1.01307190e+00],
       [5.07359440e+01, 7.02614379e-01],
       [5.12459440e+01, 1.57407407e+00],
       [5.17559440e+01, 1.37799564e+00],
       [5.22559440e+01, 1.49444444e+00],
       [5.27759440e+01, 1.06837607e+00],
       [5.29159440e+01, 1.30952381e+00],
       [5.35159440e+01, 1.72222222e+00],
       [5.41259440e+01, 1.65300546e+00],
       [5.46459440e+01, 1.35149573e+00],
       [5.51559440e+01, 1.66122004e+00],
       [5.56559440e+01, 1.82222222e+00],
       [5.61759440e+01, 1.58119658e+00],
       [5.66859440e+01, 5.99128540e-02],
       [5.72059440e+01, 1.49572650e-01],
       [5.77059440e+01, 1.67777778e+00],
       [5.82259440e+01, 1.77350427e+00],
       [5.87359440e+01, 1.84095861e+00],
       [5.92459440e+01, 1.86819172e+00],
       [5.97559440e+01, 1.77559913e+00],
       [6.02759440e+01, 1.28739316e+00],
       [6.07859440e+01, 1.50326797e+00],
       [6.12959440e+01, 1.60130719e+00],
       [6.18059440e+01, 1.61220044e+00],
       [6.23559440e+01, 1.68686869e+00],
       [6.28659440e+01, 1.91176471e+00],
       [6.33759440e+01, 2.01525054e+00],
       [6.38859440e+01, 1.99346405e+00],
       [6.43959440e+01, 1.78649237e+00],
       [6.49059440e+01, 1.84640523e+00],
       [6.54159440e+01, 1.88453159e+00],
       [6.59259440e+01, 1.68845316e+00],
       [6.64359440e+01, 1.72113290e+00]])]",1663.447028,14,-1,go,0,missed,,-4
7,JUV011,211215,8,66.744733,,,,69.99505399999998,[],"[array([[63.885944  ,  1.99346405],
       [64.395944  ,  1.78649237],
       [64.905944  ,  1.84640523],
       [65.415944  ,  1.88453159],
       [65.925944  ,  1.68845316],
       [66.435944  ,  1.7211329 ],
       [66.945944  ,  1.77559913],
       [67.465944  ,  1.97649573],
       [67.975944  ,  1.77015251],
       [68.485944  ,  1.66122004],
       [69.005944  ,  1.66666667],
       [69.515944  ,  1.94444444],
       [70.025944  ,  1.74836601],
       [70.535944  ,  1.58496732],
       [71.045944  ,  1.63943355],
       [71.545944  ,  1.73333333],
       [71.655944  ,  1.54040404],
       [72.255944  ,  1.59722222],
       [72.865944  ,  1.69398907],
       [73.385944  ,  1.69871795],
       [73.905944  ,  1.9017094 ]])]",1663.447028,8,0,nogo,0,normal,,0
8,JUV011,211215,9,74.39820299999997,74.61836900000003,75.88669699999991,74.62070199999994,74.62070199999994,"[74.61836900000003, 74.7282009999999, 74.82436800000005, 74.901701, 75.00769999999989, 75.0920329999999, 75.20720000000006, 75.30919900000004, 75.41769899999986, 75.53303099999994, 75.62753099999986, 75.74969699999997, 75.85802999999987]","[array([[71.545944  ,  1.73333333],
       [71.655944  ,  1.54040404],
       [72.255944  ,  1.59722222],
       [72.865944  ,  1.69398907],
       [73.385944  ,  1.69871795],
       [73.905944  ,  1.9017094 ],
       [74.415944  ,  1.81917211],
       [74.925944  ,  1.91176471],
       [75.435944  ,  1.87908497],
       [75.955944  ,  1.28739316],
       [76.475944  ,  0.43803419],
       [77.015944  ,  1.81584362],
       [77.525944  ,  2.51089325],
       [78.035944  ,  2.27124183],
       [78.555944  ,  1.51709402],
       [79.065944  ,  1.0620915 ]])]",1663.447028,4,2,go,13,normal,2,2
9,JUV011,211215,10,79.24701699999991,,,,82.49733700000002,[],"[array([[76.475944  ,  0.43803419],
       [77.015944  ,  1.81584362],
       [77.525944  ,  2.51089325],
       [78.035944  ,  2.27124183],
       [78.555944  ,  1.51709402],
       [79.065944  ,  1.0620915 ],
       [79.575944  ,  0.47930283],
       [80.085944  ,  1.2745098 ],
       [80.605944  ,  2.06730769],
       [81.105944  ,  2.06666667],
       [81.615944  ,  1.73202614],
       [82.135944  ,  1.74679487],
       [82.645944  ,  1.96078431],
       [83.155944  ,  1.80827887],
       [83.665944  ,  1.65577342],
       [84.185944  ,  1.77350427],
       [84.695944  ,  2.03159041],
       [85.215944  ,  1.95512821],
       [85.725944  ,  2.12418301],
       [86.235944  ,  1.9335512 ],
       [86.345944  ,  1.76767677]])]",1663.447028,8,0,nogo,0,normal,,0
