,Unnamed: 0,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
0,0,JUV015,220409,1,1663.447028,1663.75336,,1663.755527,1663.755527,4,2,go,0,normal,2.0
1,1,JUV015,220409,2,1668.150176,1663.865527,1665.280021,1668.317842,1668.317842,2,2,go,15,normal,2.0
2,2,JUV015,220409,3,1673.712821,1668.408008,1671.711501,,1673.83832,5,-1,nogo,17,normal,
3,3,JUV015,220409,4,1687.794764,1673.94432,1684.341445,,1691.045085,8,0,nogo,8,normal,
4,4,JUV015,220409,5,1694.732903,1694.925569,,1694.927744,1694.927744,2,2,go,0,normal,2.0
5,5,JUV015,220409,6,1699.59055,1695.017741,1696.422896,,1699.77155,5,-1,nogo,15,normal,
6,6,JUV015,220409,7,1713.443499,1699.870049,1699.877049,,1716.44582,14,-1,go,2,missed,
7,7,JUV015,220409,8,1730.191761,,,,1733.442082,8,0,nogo,0,normal,
8,8,JUV015,220409,9,1737.845231,1738.065397,,1738.06773,1738.06773,4,2,go,0,normal,2.0
9,9,JUV015,220409,10,1742.694045,1738.175229,1739.333725,,1745.944365,8,0,nogo,13,normal,
10,10,JUV015,220409,11,1750.212015,1750.373019,,1750.375183,1750.375183,2,2,go,0,normal,2.0
11,11,JUV015,220409,12,1754.751163,1750.466014,1751.639842,,1754.928329,5,-1,nogo,13,normal,
12,12,JUV015,220409,13,1768.972782,1755.028495,1755.185503,1769.164605,1769.164605,1,2,go,3,normal,2.0
13,13,JUV015,220409,14,1773.661421,1769.254941,1770.374941,,1776.911581,8,0,nogo,13,normal,
14,14,JUV015,220409,15,1781.29039,1781.477223,,1781.479556,1781.479556,3,2,go,0,normal,2.0
15,15,JUV015,220409,16,1786.41737,1781.577556,1782.727884,1786.574869,1786.574869,4,2,go,13,normal,2.0
16,16,JUV015,220409,17,1790.686186,1786.667702,1787.870531,,1790.837185,5,-1,nogo,13,normal,
17,17,JUV015,220409,18,1804.256965,1790.951022,1791.000518,1804.446631,1804.446631,2,2,go,2,normal,2.0
18,18,JUV015,220409,19,1808.150949,1804.545464,1805.550627,,1811.40127,8,0,nogo,12,normal,
19,19,JUV015,220409,20,1815.923585,1816.123424,,,1816.123424,5,-1,nogo,0,normal,
20,20,JUV015,220409,21,1830.023362,1816.222751,1816.244084,1830.220703,1830.220703,4,2,go,2,normal,2.0
21,21,JUV015,220409,22,1835.904838,1830.319361,1833.90368,1836.056005,1836.056005,4,2,go,17,normal,2.0
22,22,JUV015,220409,23,1840.302988,1836.147004,1837.215167,,1843.553308,8,0,nogo,12,normal,
23,23,JUV015,220409,24,1847.623625,1847.813291,,,1847.813291,5,-1,nogo,0,normal,
24,24,JUV015,220409,25,1861.790068,1847.913624,1848.191123,,1865.040389,7,0,nogo,4,normal,
25,25,JUV015,220409,26,1869.285538,,,,1872.535859,8,0,nogo,0,normal,
26,26,JUV015,220409,27,1876.865181,,,,1879.867503,15,-1,go,0,missed,
27,27,JUV015,220409,28,1893.537775,1880.049162,1880.343499,,1896.788095,8,0,nogo,3,normal,
28,28,JUV015,220409,29,1901.044411,1901.236744,,1901.238911,1901.238911,1,2,go,0,normal,2.0
29,29,JUV015,220409,30,1905.292061,1901.311077,1902.497905,1905.498394,1905.498394,1,2,go,13,normal,2.0
30,30,JUV015,220409,31,1909.884381,1905.604063,1907.062387,,1910.027709,6,-1,nogo,15,normal,
31,31,JUV015,220409,32,1924.189152,1910.135708,1922.187827,,1927.439472,6,0,nogo,4,normal,
32,32,JUV015,220409,33,1931.480789,,,,1934.73111,8,0,nogo,0,normal,
33,33,JUV015,220409,34,1938.449102,1938.633594,,1938.635928,1938.635928,2,2,go,0,normal,2.0
34,34,JUV015,220409,35,1944.336072,1938.725265,1942.334913,,1947.586392,7,0,nogo,15,normal,
35,35,JUV015,220409,36,1951.585043,,,,1954.835363,6,0,nogo,0,normal,
36,36,JUV015,220409,37,1958.558348,1958.740014,,1958.74218,1958.74218,2,2,go,0,normal,2.0
37,37,JUV015,220409,38,1962.401832,1958.83268,1960.014009,1962.530499,1962.530499,2,2,go,13,normal,2.0
38,38,JUV015,220409,39,1968.328309,1962.621665,1966.326983,1968.474642,1968.474642,2,2,go,12,normal,2.0
39,39,JUV015,220409,40,1974.837116,1968.560141,1972.835957,1974.992282,1974.992282,3,2,go,13,normal,2.0
40,40,JUV015,220409,41,1980.878925,1975.092115,1978.877767,,1981.023264,5,-1,nogo,11,normal,
41,41,JUV015,220409,42,1995.911698,1981.122924,1981.165757,,1996.074031,5,-1,nogo,2,normal,
42,42,JUV015,220409,43,2010.129986,1996.173031,1996.336864,,2013.380299,8,0,nogo,3,normal,
43,43,JUV015,220409,44,2016.714782,2016.918448,,2016.920619,2016.920619,4,2,go,0,normal,2.0
44,44,JUV015,220409,45,2021.605107,2017.019947,2018.114443,,2021.756762,5,-1,nogo,12,normal,
45,45,JUV015,220409,46,2036.075538,,2021.763762,,2039.325858,8,0,nogo,1,normal,
46,46,JUV015,220409,47,2043.584008,2040.240188,2040.54102,,2046.586496,13,-1,go,3,missed,
47,47,JUV015,220409,48,2060.483274,,,,2063.733594,7,0,nogo,0,normal,
48,48,JUV015,220409,49,2068.077243,2068.265242,,2068.267409,2068.267409,1,2,go,0,normal,2.0
49,49,JUV015,220409,50,2074.551717,2068.358075,2072.550392,,2077.802038,6,0,nogo,12,normal,
50,50,JUV015,220409,51,2081.48719,2081.680189,,2081.682355,2081.682355,2,2,go,0,normal,2.0
51,51,JUV015,220409,52,2086.26567,2081.772859,2082.768851,,2089.515991,6,0,nogo,11,normal,
52,52,JUV015,220409,53,2093.15231,,,,2096.154631,16,-1,go,0,missed,
53,53,JUV015,220409,54,2110.481407,2107.760084,2107.781584,,2113.731727,6,0,nogo,1,normal,
54,54,JUV015,220409,55,2117.573878,2117.676878,,2117.679045,2117.679045,2,2,go,0,normal,2.0
